,idx,image,object_count,color,shape,material,color_shape,color_material,shape_material,color_shape_material,size,all
2957,2957,218ac7a1020d98d65490ffc3f1d1c47c.png,9,"['yellow', 'green', 'purple', 'red', 'gray', 'green', 'red', 'brown', 'red']","['cylinder', 'sphere', 'cone', 'sphere', 'sphere', 'cube', 'cylinder', 'cube', 'sphere']","['metal', 'metal', 'rubber', 'metal', 'metal', 'metal', 'metal', 'metal', 'rubber']","['yellow_cylinder', 'green_sphere', 'purple_cone', 'red_sphere', 'gray_sphere', 'green_cube', 'red_cylinder', 'brown_cube', 'red_sphere']","['yellow_metal', 'green_metal', 'purple_rubber', 'red_metal', 'gray_metal', 'green_metal', 'red_metal', 'brown_metal', 'red_rubber']","['cylinder_metal', 'sphere_metal', 'cone_rubber', 'sphere_metal', 'sphere_metal', 'cube_metal', 'cylinder_metal', 'cube_metal', 'sphere_rubber']","['yellow_cylinder_metal', 'green_sphere_metal', 'purple_cone_rubber', 'red_sphere_metal', 'gray_sphere_metal', 'green_cube_metal', 'red_cylinder_metal', 'brown_cube_metal', 'red_sphere_rubber']","[0.7, 0.351, 0.351, 0.701, 0.701, 0.7, 0.7, 0.351, 0.351]","['yellow', 'green', 'purple', 'red', 'gray', 'green', 'red', 'brown', 'red', 'cylinder', 'sphere', 'cone', 'sphere', 'sphere', 'cube', 'cylinder', 'cube', 'sphere', 'metal', 'metal', 'rubber', 'metal', 'metal', 'metal', 'metal', 'metal', 'rubber', 'yellow_cylinder', 'green_sphere', 'purple_cone', 'red_sphere', 'gray_sphere', 'green_cube', 'red_cylinder', 'brown_cube', 'red_sphere', 'cylinder_metal', 'sphere_metal', 'cone_rubber', 'sphere_metal', 'sphere_metal', 'cube_metal', 'cylinder_metal', 'cube_metal', 'sphere_rubber', 'yellow_metal', 'green_metal', 'purple_rubber', 'red_metal', 'gray_metal', 'green_metal', 'red_metal', 'brown_metal', 'red_rubber', 'yellow_cylinder_metal', 'green_sphere_metal', 'purple_cone_rubber', 'red_sphere_metal', 'gray_sphere_metal', 'green_cube_metal', 'red_cylinder_metal', 'brown_cube_metal', 'red_sphere_rubber']"
2958,2958,daf96eac86b3b155e12961b1020fd9de.png,5,"['brown', 'yellow', 'purple', 'red', 'blue']","['sphere', 'sphere', 'cylinder', 'sphere', 'sphere']","['rubber', 'rubber', 'metal', 'rubber', 'metal']","['brown_sphere', 'yellow_sphere', 'purple_cylinder', 'red_sphere', 'blue_sphere']","['brown_rubber', 'yellow_rubber', 'purple_metal', 'red_rubber', 'blue_metal']","['sphere_rubber', 'sphere_rubber', 'cylinder_metal', 'sphere_rubber', 'sphere_metal']","['brown_sphere_rubber', 'yellow_sphere_rubber', 'purple_cylinder_metal', 'red_sphere_rubber', 'blue_sphere_metal']","[0.7, 0.351, 0.701, 0.351, 0.351]","['brown', 'yellow', 'purple', 'red', 'blue', 'sphere', 'sphere', 'cylinder', 'sphere', 'sphere', 'rubber', 'rubber', 'metal', 'rubber', 'metal', 'brown_sphere', 'yellow_sphere', 'purple_cylinder', 'red_sphere', 'blue_sphere', 'sphere_rubber', 'sphere_rubber', 'cylinder_metal', 'sphere_rubber', 'sphere_metal', 'brown_rubber', 'yellow_rubber', 'purple_metal', 'red_rubber', 'blue_metal', 'brown_sphere_rubber', 'yellow_sphere_rubber', 'purple_cylinder_metal', 'red_sphere_rubber', 'blue_sphere_metal']"
2959,2959,d43030218377a9114f37059be220a645.png,8,"['blue', 'red', 'blue', 'purple', 'yellow', 'purple', 'purple', 'green']","['cylinder', 'cylinder', 'sphere', 'cube', 'cone', 'sphere', 'cone', 'cylinder']","['metal', 'rubber', 'metal', 'metal', 'metal', 'rubber', 'metal', 'rubber']","['blue_cylinder', 'red_cylinder', 'blue_sphere', 'purple_cube', 'yellow_cone', 'purple_sphere', 'purple_cone', 'green_cylinder']","['blue_metal', 'red_rubber', 'blue_metal', 'purple_metal', 'yellow_metal', 'purple_rubber', 'purple_metal', 'green_rubber']","['cylinder_metal', 'cylinder_rubber', 'sphere_metal', 'cube_metal', 'cone_metal', 'sphere_rubber', 'cone_metal', 'cylinder_rubber']","['blue_cylinder_metal', 'red_cylinder_rubber', 'blue_sphere_metal', 'purple_cube_metal', 'yellow_cone_metal', 'purple_sphere_rubber', 'purple_cone_metal', 'green_cylinder_rubber']","[0.7, 0.351, 0.351, 0.351, 0.351, 0.351, 0.351, 0.351]","['blue', 'red', 'blue', 'purple', 'yellow', 'purple', 'purple', 'green', 'cylinder', 'cylinder', 'sphere', 'cube', 'cone', 'sphere', 'cone', 'cylinder', 'metal', 'rubber', 'metal', 'metal', 'metal', 'rubber', 'metal', 'rubber', 'blue_cylinder', 'red_cylinder', 'blue_sphere', 'purple_cube', 'yellow_cone', 'purple_sphere', 'purple_cone', 'green_cylinder', 'cylinder_metal', 'cylinder_rubber', 'sphere_metal', 'cube_metal', 'cone_metal', 'sphere_rubber', 'cone_metal', 'cylinder_rubber', 'blue_metal', 'red_rubber', 'blue_metal', 'purple_metal', 'yellow_metal', 'purple_rubber', 'purple_metal', 'green_rubber', 'blue_cylinder_metal', 'red_cylinder_rubber', 'blue_sphere_metal', 'purple_cube_metal', 'yellow_cone_metal', 'purple_sphere_rubber', 'purple_cone_metal', 'green_cylinder_rubber']"
2960,2960,362ceba5c2d0a23240c5aecdbe711d2b.png,7,"['gray', 'purple', 'purple', 'red', 'green', 'blue', 'yellow']","['cube', 'cone', 'sphere', 'cube', 'sphere', 'cube', 'cylinder']","['rubber', 'rubber', 'metal', 'metal', 'rubber', 'rubber', 'rubber']","['gray_cube', 'purple_cone', 'purple_sphere', 'red_cube', 'green_sphere', 'blue_cube', 'yellow_cylinder']","['gray_rubber', 'purple_rubber', 'purple_metal', 'red_metal', 'green_rubber', 'blue_rubber', 'yellow_rubber']","['cube_rubber', 'cone_rubber', 'sphere_metal', 'cube_metal', 'sphere_rubber', 'cube_rubber', 'cylinder_rubber']","['gray_cube_rubber', 'purple_cone_rubber', 'purple_sphere_metal', 'red_cube_metal', 'green_sphere_rubber', 'blue_cube_rubber', 'yellow_cylinder_rubber']","[0.7, 0.351, 0.351, 0.351, 0.7, 0.351, 0.351]","['gray', 'purple', 'purple', 'red', 'green', 'blue', 'yellow', 'cube', 'cone', 'sphere', 'cube', 'sphere', 'cube', 'cylinder', 'rubber', 'rubber', 'metal', 'metal', 'rubber', 'rubber', 'rubber', 'gray_cube', 'purple_cone', 'purple_sphere', 'red_cube', 'green_sphere', 'blue_cube', 'yellow_cylinder', 'cube_rubber', 'cone_rubber', 'sphere_metal', 'cube_metal', 'sphere_rubber', 'cube_rubber', 'cylinder_rubber', 'gray_rubber', 'purple_rubber', 'purple_metal', 'red_metal', 'green_rubber', 'blue_rubber', 'yellow_rubber', 'gray_cube_rubber', 'purple_cone_rubber', 'purple_sphere_metal', 'red_cube_metal', 'green_sphere_rubber', 'blue_cube_rubber', 'yellow_cylinder_rubber']"
2961,2961,3a61f897addb6f088d5742ebc19f85f2.png,3,"['green', 'brown', 'blue']","['cone', 'cube', 'cylinder']","['rubber', 'rubber', 'metal']","['green_cone', 'brown_cube', 'blue_cylinder']","['green_rubber', 'brown_rubber', 'blue_metal']","['cone_rubber', 'cube_rubber', 'cylinder_metal']","['green_cone_rubber', 'brown_cube_rubber', 'blue_cylinder_metal']","[0.351, 0.351, 0.351]","['green', 'brown', 'blue', 'cone', 'cube', 'cylinder', 'rubber', 'rubber', 'metal', 'green_cone', 'brown_cube', 'blue_cylinder', 'cone_rubber', 'cube_rubber', 'cylinder_metal', 'green_rubber', 'brown_rubber', 'blue_metal', 'green_cone_rubber', 'brown_cube_rubber', 'blue_cylinder_metal']"
2962,2962,ce566f40958165fde5bd7242c70f728b.png,3,"['yellow', 'gray', 'brown']","['cylinder', 'sphere', 'cube']","['rubber', 'rubber', 'rubber']","['yellow_cylinder', 'gray_sphere', 'brown_cube']","['yellow_rubber', 'gray_rubber', 'brown_rubber']","['cylinder_rubber', 'sphere_rubber', 'cube_rubber']","['yellow_cylinder_rubber', 'gray_sphere_rubber', 'brown_cube_rubber']","[0.351, 0.351, 0.351]","['yellow', 'gray', 'brown', 'cylinder', 'sphere', 'cube', 'rubber', 'rubber', 'rubber', 'yellow_cylinder', 'gray_sphere', 'brown_cube', 'cylinder_rubber', 'sphere_rubber', 'cube_rubber', 'yellow_rubber', 'gray_rubber', 'brown_rubber', 'yellow_cylinder_rubber', 'gray_sphere_rubber', 'brown_cube_rubber']"
2963,2963,a7ff331932642f7883cddf444a9fe751.png,10,"['brown', 'yellow', 'brown', 'gray', 'green', 'blue', 'purple', 'red', 'green', 'yellow']","['sphere', 'cone', 'cylinder', 'cube', 'sphere', 'sphere', 'sphere', 'cube', 'cube', 'cylinder']","['rubber', 'metal', 'rubber', 'metal', 'metal', 'metal', 'rubber', 'metal', 'rubber', 'rubber']","['brown_sphere', 'yellow_cone', 'brown_cylinder', 'gray_cube', 'green_sphere', 'blue_sphere', 'purple_sphere', 'red_cube', 'green_cube', 'yellow_cylinder']","['brown_rubber', 'yellow_metal', 'brown_rubber', 'gray_metal', 'green_metal', 'blue_metal', 'purple_rubber', 'red_metal', 'green_rubber', 'yellow_rubber']","['sphere_rubber', 'cone_metal', 'cylinder_rubber', 'cube_metal', 'sphere_metal', 'sphere_metal', 'sphere_rubber', 'cube_metal', 'cube_rubber', 'cylinder_rubber']","['brown_sphere_rubber', 'yellow_cone_metal', 'brown_cylinder_rubber', 'gray_cube_metal', 'green_sphere_metal', 'blue_sphere_metal', 'purple_sphere_rubber', 'red_cube_metal', 'green_cube_rubber', 'yellow_cylinder_rubber']","[0.351, 0.351, 0.7, 0.351, 0.7, 0.351, 0.351, 0.351, 0.351, 0.351]","['brown', 'yellow', 'brown', 'gray', 'green', 'blue', 'purple', 'red', 'green', 'yellow', 'sphere', 'cone', 'cylinder', 'cube', 'sphere', 'sphere', 'sphere', 'cube', 'cube', 'cylinder', 'rubber', 'metal', 'rubber', 'metal', 'metal', 'metal', 'rubber', 'metal', 'rubber', 'rubber', 'brown_sphere', 'yellow_cone', 'brown_cylinder', 'gray_cube', 'green_sphere', 'blue_sphere', 'purple_sphere', 'red_cube', 'green_cube', 'yellow_cylinder', 'sphere_rubber', 'cone_metal', 'cylinder_rubber', 'cube_metal', 'sphere_metal', 'sphere_metal', 'sphere_rubber', 'cube_metal', 'cube_rubber', 'cylinder_rubber', 'brown_rubber', 'yellow_metal', 'brown_rubber', 'gray_metal', 'green_metal', 'blue_metal', 'purple_rubber', 'red_metal', 'green_rubber', 'yellow_rubber', 'brown_sphere_rubber', 'yellow_cone_metal', 'brown_cylinder_rubber', 'gray_cube_metal', 'green_sphere_metal', 'blue_sphere_metal', 'purple_sphere_rubber', 'red_cube_metal', 'green_cube_rubber', 'yellow_cylinder_rubber']"
2964,2964,a89a40ffa5b34072a12c9cfd3696de0b.png,8,"['blue', 'brown', 'purple', 'green', 'red', 'yellow', 'brown', 'cyan']","['cylinder', 'cube', 'cube', 'cube', 'cube', 'cube', 'sphere', 'cone']","['rubber', 'rubber', 'metal', 'metal', 'metal', 'metal', 'metal', 'rubber']","['blue_cylinder', 'brown_cube', 'purple_cube', 'green_cube', 'red_cube', 'yellow_cube', 'brown_sphere', 'cyan_cone']","['blue_rubber', 'brown_rubber', 'purple_metal', 'green_metal', 'red_metal', 'yellow_metal', 'brown_metal', 'cyan_rubber']","['cylinder_rubber', 'cube_rubber', 'cube_metal', 'cube_metal', 'cube_metal', 'cube_metal', 'sphere_metal', 'cone_rubber']","['blue_cylinder_rubber', 'brown_cube_rubber', 'purple_cube_metal', 'green_cube_metal', 'red_cube_metal', 'yellow_cube_metal', 'brown_sphere_metal', 'cyan_cone_rubber']","[0.351, 0.7, 0.351, 0.7, 0.351, 0.351, 0.351, 0.351]","['blue', 'brown', 'purple', 'green', 'red', 'yellow', 'brown', 'cyan', 'cylinder', 'cube', 'cube', 'cube', 'cube', 'cube', 'sphere', 'cone', 'rubber', 'rubber', 'metal', 'metal', 'metal', 'metal', 'metal', 'rubber', 'blue_cylinder', 'brown_cube', 'purple_cube', 'green_cube', 'red_cube', 'yellow_cube', 'brown_sphere', 'cyan_cone', 'cylinder_rubber', 'cube_rubber', 'cube_metal', 'cube_metal', 'cube_metal', 'cube_metal', 'sphere_metal', 'cone_rubber', 'blue_rubber', 'brown_rubber', 'purple_metal', 'green_metal', 'red_metal', 'yellow_metal', 'brown_metal', 'cyan_rubber', 'blue_cylinder_rubber', 'brown_cube_rubber', 'purple_cube_metal', 'green_cube_metal', 'red_cube_metal', 'yellow_cube_metal', 'brown_sphere_metal', 'cyan_cone_rubber']"
2965,2965,2a4e0303c05cc67254f30303a1738c49.png,4,"['purple', 'brown', 'yellow', 'gray']","['cone', 'cube', 'cube', 'cylinder']","['metal', 'rubber', 'rubber', 'metal']","['purple_cone', 'brown_cube', 'yellow_cube', 'gray_cylinder']","['purple_metal', 'brown_rubber', 'yellow_rubber', 'gray_metal']","['cone_metal', 'cube_rubber', 'cube_rubber', 'cylinder_metal']","['purple_cone_metal', 'brown_cube_rubber', 'yellow_cube_rubber', 'gray_cylinder_metal']","[0.701, 0.701, 0.351, 0.7]","['purple', 'brown', 'yellow', 'gray', 'cone', 'cube', 'cube', 'cylinder', 'metal', 'rubber', 'rubber', 'metal', 'purple_cone', 'brown_cube', 'yellow_cube', 'gray_cylinder', 'cone_metal', 'cube_rubber', 'cube_rubber', 'cylinder_metal', 'purple_metal', 'brown_rubber', 'yellow_rubber', 'gray_metal', 'purple_cone_metal', 'brown_cube_rubber', 'yellow_cube_rubber', 'gray_cylinder_metal']"
2966,2966,6fe89e2ba3f0e52c456b5782730a43e8.png,4,"['yellow', 'cyan', 'green', 'gray']","['cylinder', 'cube', 'cylinder', 'cylinder']","['rubber', 'metal', 'metal', 'rubber']","['yellow_cylinder', 'cyan_cube', 'green_cylinder', 'gray_cylinder']","['yellow_rubber', 'cyan_metal', 'green_metal', 'gray_rubber']","['cylinder_rubber', 'cube_metal', 'cylinder_metal', 'cylinder_rubber']","['yellow_cylinder_rubber', 'cyan_cube_metal', 'green_cylinder_metal', 'gray_cylinder_rubber']","[0.351, 0.351, 0.7, 0.701]","['yellow', 'cyan', 'green', 'gray', 'cylinder', 'cube', 'cylinder', 'cylinder', 'rubber', 'metal', 'metal', 'rubber', 'yellow_cylinder', 'cyan_cube', 'green_cylinder', 'gray_cylinder', 'cylinder_rubber', 'cube_metal', 'cylinder_metal', 'cylinder_rubber', 'yellow_rubber', 'cyan_metal', 'green_metal', 'gray_rubber', 'yellow_cylinder_rubber', 'cyan_cube_metal', 'green_cylinder_metal', 'gray_cylinder_rubber']"
2967,2967,a7dae7da66a930021fd0453acbafccaa.png,7,"['gray', 'green', 'cyan', 'gray', 'brown', 'blue', 'yellow']","['cylinder', 'sphere', 'sphere', 'cube', 'sphere', 'cylinder', 'sphere']","['metal', 'metal', 'rubber', 'metal', 'metal', 'rubber', 'rubber']","['gray_cylinder', 'green_sphere', 'cyan_sphere', 'gray_cube', 'brown_sphere', 'blue_cylinder', 'yellow_sphere']","['gray_metal', 'green_metal', 'cyan_rubber', 'gray_metal', 'brown_metal', 'blue_rubber', 'yellow_rubber']","['cylinder_metal', 'sphere_metal', 'sphere_rubber', 'cube_metal', 'sphere_metal', 'cylinder_rubber', 'sphere_rubber']","['gray_cylinder_metal', 'green_sphere_metal', 'cyan_sphere_rubber', 'gray_cube_metal', 'brown_sphere_metal', 'blue_cylinder_rubber', 'yellow_sphere_rubber']","[0.351, 0.7, 0.351, 0.7, 0.351, 0.7, 0.7]","['gray', 'green', 'cyan', 'gray', 'brown', 'blue', 'yellow', 'cylinder', 'sphere', 'sphere', 'cube', 'sphere', 'cylinder', 'sphere', 'metal', 'metal', 'rubber', 'metal', 'metal', 'rubber', 'rubber', 'gray_cylinder', 'green_sphere', 'cyan_sphere', 'gray_cube', 'brown_sphere', 'blue_cylinder', 'yellow_sphere', 'cylinder_metal', 'sphere_metal', 'sphere_rubber', 'cube_metal', 'sphere_metal', 'cylinder_rubber', 'sphere_rubber', 'gray_metal', 'green_metal', 'cyan_rubber', 'gray_metal', 'brown_metal', 'blue_rubber', 'yellow_rubber', 'gray_cylinder_metal', 'green_sphere_metal', 'cyan_sphere_rubber', 'gray_cube_metal', 'brown_sphere_metal', 'blue_cylinder_rubber', 'yellow_sphere_rubber']"
2968,2968,1387679e8bec85f2ee5d3d85a1806a03.png,6,"['brown', 'green', 'purple', 'red', 'yellow', 'blue']","['cube', 'cone', 'cube', 'cylinder', 'cylinder', 'cube']","['metal', 'metal', 'metal', 'rubber', 'rubber', 'metal']","['brown_cube', 'green_cone', 'purple_cube', 'red_cylinder', 'yellow_cylinder', 'blue_cube']","['brown_metal', 'green_metal', 'purple_metal', 'red_rubber', 'yellow_rubber', 'blue_metal']","['cube_metal', 'cone_metal', 'cube_metal', 'cylinder_rubber', 'cylinder_rubber', 'cube_metal']","['brown_cube_metal', 'green_cone_metal', 'purple_cube_metal', 'red_cylinder_rubber', 'yellow_cylinder_rubber', 'blue_cube_metal']","[0.351, 0.7, 0.7, 0.351, 0.351, 0.7]","['brown', 'green', 'purple', 'red', 'yellow', 'blue', 'cube', 'cone', 'cube', 'cylinder', 'cylinder', 'cube', 'metal', 'metal', 'metal', 'rubber', 'rubber', 'metal', 'brown_cube', 'green_cone', 'purple_cube', 'red_cylinder', 'yellow_cylinder', 'blue_cube', 'cube_metal', 'cone_metal', 'cube_metal', 'cylinder_rubber', 'cylinder_rubber', 'cube_metal', 'brown_metal', 'green_metal', 'purple_metal', 'red_rubber', 'yellow_rubber', 'blue_metal', 'brown_cube_metal', 'green_cone_metal', 'purple_cube_metal', 'red_cylinder_rubber', 'yellow_cylinder_rubber', 'blue_cube_metal']"
2969,2969,b39a193763641be05845842198b7ff84.png,6,"['green', 'cyan', 'purple', 'blue', 'red', 'gray']","['cone', 'sphere', 'cube', 'sphere', 'sphere', 'cylinder']","['rubber', 'metal', 'rubber', 'rubber', 'metal', 'metal']","['green_cone', 'cyan_sphere', 'purple_cube', 'blue_sphere', 'red_sphere', 'gray_cylinder']","['green_rubber', 'cyan_metal', 'purple_rubber', 'blue_rubber', 'red_metal', 'gray_metal']","['cone_rubber', 'sphere_metal', 'cube_rubber', 'sphere_rubber', 'sphere_metal', 'cylinder_metal']","['green_cone_rubber', 'cyan_sphere_metal', 'purple_cube_rubber', 'blue_sphere_rubber', 'red_sphere_metal', 'gray_cylinder_metal']","[0.7, 0.351, 0.701, 0.7, 0.351, 0.351]","['green', 'cyan', 'purple', 'blue', 'red', 'gray', 'cone', 'sphere', 'cube', 'sphere', 'sphere', 'cylinder', 'rubber', 'metal', 'rubber', 'rubber', 'metal', 'metal', 'green_cone', 'cyan_sphere', 'purple_cube', 'blue_sphere', 'red_sphere', 'gray_cylinder', 'cone_rubber', 'sphere_metal', 'cube_rubber', 'sphere_rubber', 'sphere_metal', 'cylinder_metal', 'green_rubber', 'cyan_metal', 'purple_rubber', 'blue_rubber', 'red_metal', 'gray_metal', 'green_cone_rubber', 'cyan_sphere_metal', 'purple_cube_rubber', 'blue_sphere_rubber', 'red_sphere_metal', 'gray_cylinder_metal']"
2970,2970,5922d3bbde6f67cac55ea7139fdbe06e.png,6,"['cyan', 'cyan', 'red', 'gray', 'blue', 'purple']","['cylinder', 'cube', 'cylinder', 'cone', 'cylinder', 'sphere']","['metal', 'metal', 'rubber', 'metal', 'rubber', 'metal']","['cyan_cylinder', 'cyan_cube', 'red_cylinder', 'gray_cone', 'blue_cylinder', 'purple_sphere']","['cyan_metal', 'cyan_metal', 'red_rubber', 'gray_metal', 'blue_rubber', 'purple_metal']","['cylinder_metal', 'cube_metal', 'cylinder_rubber', 'cone_metal', 'cylinder_rubber', 'sphere_metal']","['cyan_cylinder_metal', 'cyan_cube_metal', 'red_cylinder_rubber', 'gray_cone_metal', 'blue_cylinder_rubber', 'purple_sphere_metal']","[0.7, 0.351, 0.351, 0.351, 0.351, 0.351]","['cyan', 'cyan', 'red', 'gray', 'blue', 'purple', 'cylinder', 'cube', 'cylinder', 'cone', 'cylinder', 'sphere', 'metal', 'metal', 'rubber', 'metal', 'rubber', 'metal', 'cyan_cylinder', 'cyan_cube', 'red_cylinder', 'gray_cone', 'blue_cylinder', 'purple_sphere', 'cylinder_metal', 'cube_metal', 'cylinder_rubber', 'cone_metal', 'cylinder_rubber', 'sphere_metal', 'cyan_metal', 'cyan_metal', 'red_rubber', 'gray_metal', 'blue_rubber', 'purple_metal', 'cyan_cylinder_metal', 'cyan_cube_metal', 'red_cylinder_rubber', 'gray_cone_metal', 'blue_cylinder_rubber', 'purple_sphere_metal']"
2971,2971,74a949866728eb46e73b6de7b6966a54.png,6,"['cyan', 'purple', 'yellow', 'red', 'brown', 'blue']","['cylinder', 'cylinder', 'cube', 'cube', 'sphere', 'cube']","['rubber', 'metal', 'metal', 'metal', 'rubber', 'rubber']","['cyan_cylinder', 'purple_cylinder', 'yellow_cube', 'red_cube', 'brown_sphere', 'blue_cube']","['cyan_rubber', 'purple_metal', 'yellow_metal', 'red_metal', 'brown_rubber', 'blue_rubber']","['cylinder_rubber', 'cylinder_metal', 'cube_metal', 'cube_metal', 'sphere_rubber', 'cube_rubber']","['cyan_cylinder_rubber', 'purple_cylinder_metal', 'yellow_cube_metal', 'red_cube_metal', 'brown_sphere_rubber', 'blue_cube_rubber']","[0.351, 0.7, 0.351, 0.351, 0.7, 0.351]","['cyan', 'purple', 'yellow', 'red', 'brown', 'blue', 'cylinder', 'cylinder', 'cube', 'cube', 'sphere', 'cube', 'rubber', 'metal', 'metal', 'metal', 'rubber', 'rubber', 'cyan_cylinder', 'purple_cylinder', 'yellow_cube', 'red_cube', 'brown_sphere', 'blue_cube', 'cylinder_rubber', 'cylinder_metal', 'cube_metal', 'cube_metal', 'sphere_rubber', 'cube_rubber', 'cyan_rubber', 'purple_metal', 'yellow_metal', 'red_metal', 'brown_rubber', 'blue_rubber', 'cyan_cylinder_rubber', 'purple_cylinder_metal', 'yellow_cube_metal', 'red_cube_metal', 'brown_sphere_rubber', 'blue_cube_rubber']"
2972,2972,c9f82e8a2567451455a3c4c43d1f4521.png,8,"['brown', 'green', 'cyan', 'red', 'red', 'purple', 'blue', 'brown']","['cube', 'cube', 'sphere', 'sphere', 'cube', 'cylinder', 'cube', 'cone']","['metal', 'metal', 'metal', 'metal', 'metal', 'metal', 'metal', 'rubber']","['brown_cube', 'green_cube', 'cyan_sphere', 'red_sphere', 'red_cube', 'purple_cylinder', 'blue_cube', 'brown_cone']","['brown_metal', 'green_metal', 'cyan_metal', 'red_metal', 'red_metal', 'purple_metal', 'blue_metal', 'brown_rubber']","['cube_metal', 'cube_metal', 'sphere_metal', 'sphere_metal', 'cube_metal', 'cylinder_metal', 'cube_metal', 'cone_rubber']","['brown_cube_metal', 'green_cube_metal', 'cyan_sphere_metal', 'red_sphere_metal', 'red_cube_metal', 'purple_cylinder_metal', 'blue_cube_metal', 'brown_cone_rubber']","[0.7, 0.351, 0.7, 0.351, 0.351, 0.351, 0.351, 0.701]","['brown', 'green', 'cyan', 'red', 'red', 'purple', 'blue', 'brown', 'cube', 'cube', 'sphere', 'sphere', 'cube', 'cylinder', 'cube', 'cone', 'metal', 'metal', 'metal', 'metal', 'metal', 'metal', 'metal', 'rubber', 'brown_cube', 'green_cube', 'cyan_sphere', 'red_sphere', 'red_cube', 'purple_cylinder', 'blue_cube', 'brown_cone', 'cube_metal', 'cube_metal', 'sphere_metal', 'sphere_metal', 'cube_metal', 'cylinder_metal', 'cube_metal', 'cone_rubber', 'brown_metal', 'green_metal', 'cyan_metal', 'red_metal', 'red_metal', 'purple_metal', 'blue_metal', 'brown_rubber', 'brown_cube_metal', 'green_cube_metal', 'cyan_sphere_metal', 'red_sphere_metal', 'red_cube_metal', 'purple_cylinder_metal', 'blue_cube_metal', 'brown_cone_rubber']"
2973,2973,4fb364c0ff8b8e709f8acbc49eadb3f7.png,6,"['purple', 'blue', 'yellow', 'gray', 'brown', 'red']","['sphere', 'sphere', 'cube', 'cylinder', 'sphere', 'sphere']","['rubber', 'metal', 'metal', 'rubber', 'rubber', 'metal']","['purple_sphere', 'blue_sphere', 'yellow_cube', 'gray_cylinder', 'brown_sphere', 'red_sphere']","['purple_rubber', 'blue_metal', 'yellow_metal', 'gray_rubber', 'brown_rubber', 'red_metal']","['sphere_rubber', 'sphere_metal', 'cube_metal', 'cylinder_rubber', 'sphere_rubber', 'sphere_metal']","['purple_sphere_rubber', 'blue_sphere_metal', 'yellow_cube_metal', 'gray_cylinder_rubber', 'brown_sphere_rubber', 'red_sphere_metal']","[0.351, 0.7, 0.351, 0.351, 0.351, 0.7]","['purple', 'blue', 'yellow', 'gray', 'brown', 'red', 'sphere', 'sphere', 'cube', 'cylinder', 'sphere', 'sphere', 'rubber', 'metal', 'metal', 'rubber', 'rubber', 'metal', 'purple_sphere', 'blue_sphere', 'yellow_cube', 'gray_cylinder', 'brown_sphere', 'red_sphere', 'sphere_rubber', 'sphere_metal', 'cube_metal', 'cylinder_rubber', 'sphere_rubber', 'sphere_metal', 'purple_rubber', 'blue_metal', 'yellow_metal', 'gray_rubber', 'brown_rubber', 'red_metal', 'purple_sphere_rubber', 'blue_sphere_metal', 'yellow_cube_metal', 'gray_cylinder_rubber', 'brown_sphere_rubber', 'red_sphere_metal']"
2974,2974,adce71c2d06834ad43b3b1c23823f475.png,8,"['cyan', 'gray', 'red', 'green', 'brown', 'purple', 'yellow', 'blue']","['cylinder', 'cylinder', 'cube', 'cylinder', 'cylinder', 'sphere', 'cone', 'cylinder']","['rubber', 'metal', 'rubber', 'metal', 'rubber', 'rubber', 'rubber', 'rubber']","['cyan_cylinder', 'gray_cylinder', 'red_cube', 'green_cylinder', 'brown_cylinder', 'purple_sphere', 'yellow_cone', 'blue_cylinder']","['cyan_rubber', 'gray_metal', 'red_rubber', 'green_metal', 'brown_rubber', 'purple_rubber', 'yellow_rubber', 'blue_rubber']","['cylinder_rubber', 'cylinder_metal', 'cube_rubber', 'cylinder_metal', 'cylinder_rubber', 'sphere_rubber', 'cone_rubber', 'cylinder_rubber']","['cyan_cylinder_rubber', 'gray_cylinder_metal', 'red_cube_rubber', 'green_cylinder_metal', 'brown_cylinder_rubber', 'purple_sphere_rubber', 'yellow_cone_rubber', 'blue_cylinder_rubber']","[0.351, 0.351, 0.7, 0.351, 0.7, 0.701, 0.351, 0.351]","['cyan', 'gray', 'red', 'green', 'brown', 'purple', 'yellow', 'blue', 'cylinder', 'cylinder', 'cube', 'cylinder', 'cylinder', 'sphere', 'cone', 'cylinder', 'rubber', 'metal', 'rubber', 'metal', 'rubber', 'rubber', 'rubber', 'rubber', 'cyan_cylinder', 'gray_cylinder', 'red_cube', 'green_cylinder', 'brown_cylinder', 'purple_sphere', 'yellow_cone', 'blue_cylinder', 'cylinder_rubber', 'cylinder_metal', 'cube_rubber', 'cylinder_metal', 'cylinder_rubber', 'sphere_rubber', 'cone_rubber', 'cylinder_rubber', 'cyan_rubber', 'gray_metal', 'red_rubber', 'green_metal', 'brown_rubber', 'purple_rubber', 'yellow_rubber', 'blue_rubber', 'cyan_cylinder_rubber', 'gray_cylinder_metal', 'red_cube_rubber', 'green_cylinder_metal', 'brown_cylinder_rubber', 'purple_sphere_rubber', 'yellow_cone_rubber', 'blue_cylinder_rubber']"
